TOTAL	GeneChunk	runMONSTER	didFAIL	isMISSING
DPYS	4892	TRUE	FALSE	FALSE
PRSS57	4893	TRUE	FALSE	FALSE
VRK3	4894	TRUE	FALSE	FALSE
RUVBL1	4895	TRUE	FALSE	FALSE
ITGA7	4896	TRUE	FALSE	FALSE
LURAP1L	4897	TRUE	FALSE	FALSE
SCN9A	4898	TRUE	FALSE	FALSE
PTGES	4899	TRUE	FALSE	FALSE
DCDC1	4900	TRUE	FALSE	FALSE
GBP7	4901	TRUE	FALSE	FALSE
LYRM5	4902	TRUE	FALSE	FALSE
RB1CC1	4903	TRUE	FALSE	FALSE
MLF1	4904	TRUE	FALSE	FALSE
PTPMT1	4905	TRUE	FALSE	FALSE
ACSL6	4906	TRUE	FALSE	FALSE
FOXD4L5	4907	FALSE	TRUE	FALSE
ZNF319	4908	TRUE	FALSE	FALSE
MLLT10	4909	TRUE	FALSE	FALSE
ZFYVE19	4910	TRUE	FALSE	FALSE
CCDC144A	4911	TRUE	FALSE	FALSE
TRIM49C	4912	TRUE	FALSE	FALSE
ASPHD1	4913	TRUE	FALSE	FALSE
DNAJC21	4914	TRUE	FALSE	FALSE
ZNF778	4915	TRUE	FALSE	FALSE
THRSP	4916	TRUE	FALSE	FALSE
SIK1	4917	TRUE	FALSE	FALSE
TRUB2	4918	TRUE	FALSE	FALSE
PLK5	4919	TRUE	FALSE	FALSE
SNPH	4920	TRUE	FALSE	FALSE
SPEN	4921	TRUE	FALSE	FALSE
LRRC72	4922	TRUE	FALSE	FALSE
PSMA6	4923	TRUE	FALSE	FALSE
PCNA	4924	TRUE	FALSE	FALSE
CNTN4	4925	TRUE	FALSE	FALSE
FARP2	4926	TRUE	FALSE	FALSE
SIX3	4927	TRUE	FALSE	FALSE
OR6C6	4928	TRUE	FALSE	FALSE
RAB31	4929	TRUE	FALSE	FALSE
TRIM27	4930	TRUE	FALSE	FALSE
OSTM1	4931	TRUE	FALSE	FALSE
ZBTB11	4932	TRUE	FALSE	FALSE
LRRC55	4933	TRUE	FALSE	FALSE
RAB20	4934	TRUE	FALSE	FALSE
WDR90	4935	TRUE	FALSE	FALSE
NAGLU	4936	TRUE	FALSE	FALSE
OR9Q2	4937	TRUE	FALSE	FALSE
OR51J1	4938	TRUE	FALSE	FALSE
TMEM30B	4939	TRUE	FALSE	FALSE
TMEM212	4940	TRUE	FALSE	FALSE
