Pheno,Count,Age.median,Age.iqr,African.prop,African.num,Asian.prop,Asian.num,European.prop,European.num,Hispanic.prop,Hispanic.num
1,59199,55.6,16.35,0.034933022517272254,2068,0.11623507153837058,6881,0.8282910184293654,49034,0.020540887514991807,1216
2,83471,55,16.490000000000002,0.04451845551149501,3716,0.10111296138778737,8440,0.8383750044925783,69980,0.015993578608139353,1335
